Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
12,2019,Bologna,47,52,65,25.46,184.82,77.75,72.71,4771428,21714,64.434,0.0
13,2019,Udinese Calcio,45,37,51,23.57,183.93,78.33,71.77,5071666,15533,11.34,25.38
14,2019,Cagliari Calcio,45,52,56,27.96,182.52,76.24,72.48,4088000,22360,38.15999999999999,0.0
15,2019,Sampdoria,42,48,65,24.78,182.96,76.37,72.11,5162407,23704,58.45500000000001,51.35
16,2019,Torino,40,46,68,25.35,182.65,76.27,73.35,7524423,28423,26.28,31.94
17,2019,Genoa,39,47,73,25.76,183.4,75.6,72.16,4001600,12240,44.145,36.46
18,2019,Lecce,35,52,85,26.62,181.38,76.38,64.45,744137,2793,5.535,0.0
19,2019,Brescia,25,35,79,23.63,183.5,75.7,65.83,1078000,2300,16.790000000000006,0.0
20,2019,SPAL,20,27,70,26.41,185.3,78.11,70.74,3567592,10111,22.815,0.0
1,2018,Juventus,90,39,13,27.77,184.0,79.69,81.65,23734615,121731,233.73,185.97
2,2018,Napoli,79,41,16,26.07,180.48,74.3,77.67,15474814,62630,63.45,71.28
3,2018,Atalanta,69,36,19,24.11,185.14,78.25,71.18,5672857,23893,48.605,37.04
4,2018,FC Internazionale Milano,69,27,10,25.96,183.75,76.29,76.67,13677291,54542,87.84,118.41
5,2018,AC Milan,68,31,17,24.71,183.81,77.26,75.58,11658387,63677,169.01999999999995,123.55
6,2018,AS Roma,66,43,26,26.04,182.67,76.67,77.37,13695555,59926,147.7,107.36
7,2018,Torino,63,32,19,25.33,183.37,76.26,73.74,7250185,38519,47.835,31.72
8,2018,SS Lazio,59,36,25,25.12,183.48,76.88,73.24,8183333,34182,42.51000000000001,32.41
9,2018,Sampdoria,53,28,16,25.21,183.57,77.61,72.04,5169821,26929,49.68000000000001,43.76
10,2018,Bologna,44,28,22,24.83,183.83,76.97,71.7,4703000,33267,28.094,0.0
12,2018,Udinese Calcio,43,22,22,23.88,184.34,77.53,70.22,4004687,16406,44.46000000000001,27.3
13,2018,SPAL,42,20,26,25.17,183.9,77.14,69.31,3085000,14931,19.57,0.0
14,2018,Parma,41,18,25,27.73,180.13,73.27,65.0,998333,5700,0.0,0.0
14,2018,Parma,41,18,25,27.73,180.13,73.27,65.0,998333,5700,18.91,0.0
15,2018,Cagliari Calcio,41,23,20,26.96,182.46,75.08,71.54,3615625,33708,20.248,0.0
16,2018,ACF Fiorentina,41,25,19,22.74,183.0,75.52,71.1,6648387,30097,51.40699999999999,45.58
18,2018,Genoa,38,21,22,27.15,182.56,75.56,72.52,4970370,28037,52.49300000000001,29.91
1,2017,Juventus,95,45,8,27.33,183.41,79.59,81.0,17967592,80630,147.96000000000004,154.53
2,2017,Napoli,91,43,18,25.52,182.3,75.52,77.78,12563703,56852,61.21,62.94
3,2017,AS Roma,77,31,19,25.58,181.62,75.23,76.19,11063653,55731,82.04,76.16
4,2017,FC Internazionale Milano,72,37,16,25.48,182.33,75.45,75.15,10423181,54576,123.795,119.87
5,2017,SS Lazio,72,45,21,24.23,183.81,76.03,74.0,6903225,40161,25.29,29.42
6,2017,AC Milan,64,25,16,25.48,183.44,76.7,76.78,8207407,51185,175.03199999999995,97.89
7,2017,Atalanta,60,30,18,26.24,184.28,78.45,72.0,3467413,14207,49.61,27.94
8,2017,ACF Fiorentina,57,27,22,24.3,183.56,76.93,73.26,6502222,43000,71.19,38.92
9,2017,Sampdoria,54,36,20,25.31,182.62,77.34,72.07,3956724,14000,45.905,37.6
10,2017,Torino,54,29,18,26.54,182.65,76.35,75.0,5849038,20308,21.69,24.19
12,2017,Genoa,41,23,27,25.03,181.52,75.86,71.34,3735689,16069,12.753,17.42
13,2017,Udinese Calcio,40,24,30,24.69,183.69,75.93,74.0,4731896,18517,20.332,18.9
15,2017,Bologna,39,25,26,24.9,183.32,75.58,72.26,3637903,13097,11.7,0.0
16,2017,Cagliari Calcio,39,18,30,28.33,183.12,75.38,72.12,2337083,6583,27.977,0.0
17,2017,SPAL,38,22,29,24.54,182.46,75.54,63.14,539285,1393,0.0,0.0
18,2017,FC Crotone,35,23,25,24.22,183.66,76.44,66.06,1153906,2375,2.7,0.0
19,2017,Hellas Verona,25,14,35,26.79,181.92,74.46,69.54,1705833,4292,2.75,0.0
1,2016,Juventus,91,48,9,26.31,182.96,77.31,79.35,15003846,102154,176.21999999999997,123.24
2,2016,AS Roma,87,50,18,26.7,182.37,75.48,76.15,9617777,68556,92.34,78.67
3,2016,Napoli,86,44,19,25.73,182.62,76.08,76.65,10291153,74000,89.181,52.98
4,2016,Atalanta,72,31,18,27.7,182.63,77.52,71.81,2759629,29889,12.906000000000002,14.73
5,2016,SS Lazio,70,40,23,25.87,183.5,77.7,75.23,7606666,59100,29.43500000000001,24.81
6,2016,AC Milan,63,32,20,26.26,182.81,77.93,76.26,7828703,65963,26.599999999999994,44.62
7,2016,FC Internazionale Milano,62,44,22,25.18,181.93,76.89,75.43,8390178,61786,143.6,83.69
8,2016,ACF Fiorentina,60,34,23,25.76,184.24,78.16,73.96,5548000,43480,14.157,17.92
9,2016,Torino,53,43,31,26.68,183.71,77.79,74.04,4833214,38214,25.63,23.62
10,2016,Sampdoria,48,28,23,25.54,182.54,77.39,70.46,3073571,29571,35.69,29.57
11,2016,Cagliari Calcio,47,38,34,24.68,182.88,76.32,68.44,1299000,15720,8.316,0.0
13,2016,Udinese Calcio,45,30,23,25.36,182.46,76.04,72.32,3186607,30500,17.099999999999998,20.89
15,2016,Bologna,41,24,25,26.0,182.19,74.84,69.39,2073064,20645,28.17,0.0
16,2016,Genoa,36,24,24,25.62,181.38,75.55,71.79,3837413,34207,24.480000000000004,15.4
17,2016,FC Crotone,34,21,25,23.79,181.08,73.38,63.75,556041,5583,5.355,0.0
19,2016,Palermo,26,13,30,24.33,183.44,77.44,68.93,2221481,21296,7.63,12.13
1,2015,Juventus,91,37,6,26.06,182.64,76.21,74.15,0,0,139.414,78.15
2,2015,Napoli,82,49,12,24.94,182.78,76.75,70.5,0,0,38.43,55.49
3,2015,AS Roma,80,44,17,26.24,182.09,75.61,73.45,0,0,54.094,70.5
4,2015,FC Internazionale Milano,67,29,15,24.24,181.85,76.3,69.88,0,0,92.21,0.0
5,2015,ACF Fiorentina,64,34,16,26.33,183.42,77.61,73.0,0,0,31.41,29.19
7,2015,AC Milan,57,28,22,27.48,183.44,78.48,76.67,0,0,92.04299999999999,48.69
8,2015,SS Lazio,54,32,23,26.21,182.91,76.97,72.64,0,0,33.53,23.05
11,2015,Genoa,46,29,19,24.48,180.39,75.09,67.24,0,0,15.029999999999998,14.28
12,2015,Atalanta,45,27,21,27.59,180.28,75.34,69.07,0,0,21.314000000000004,13.83
13,2015,Torino,45,25,25,26.64,182.94,76.67,69.55,0,0,25.245000000000005,21.2
14,2015,Bologna,42,20,21,25.75,180.96,74.82,64.89,0,0,23.965,0.0
15,2015,Sampdoria,40,29,25,25.18,183.43,77.64,69.68,0,0,31.201,23.56
16,2015,Palermo,39,24,30,25.57,184.43,78.0,67.3,0,0,11.025,0.0
17,2015,Udinese Calcio,39,18,28,24.97,181.94,76.62,70.56,0,0,19.283,22.51
1,2015,Hellas Verona,28,21,30,26.26,182.77,75.42,67.81,0,0,5.67,0.0
1,2019,Real Madrid,87,70,25,24.03,181.21,75.64,77.85,26668939,150333,317.25,166.73
2,2019,FC Barcelona,82,86,38,24.75,179.75,74.36,80.29,29925892,169536,245.7,236.88
3,2019,Atlético Madrid,70,51,27,23.79,181.39,75.0,74.73,19432727,46333,219.15,151.8
4,2019,Sevilla FC,70,54,34,25.27,179.2,74.23,74.87,9395000,17733,159.98,100.46
5,2019,Villarreal CF,60,63,49,26.84,181.65,74.52,74.81,9303225,25871,40.31999999999999,55.14
6,2019,Granada CF,56,52,45,24.83,180.66,74.48,66.69,1310000,4241,7.875,0.0
7,2019,Real Sociedad,56,56,48,23.93,180.97,75.77,73.23,7781666,22700,19.125,16.42
8,2019,Getafe CF,54,43,37,25.46,181.46,74.64,72.96,5911607,17071,19.35,0.0
9,2019,Valencia CF,53,46,53,23.39,181.97,74.06,75.84,13846774,31097,67.49999999999999,77.76
10,2019,CA Osasuna,52,46,54,26.04,181.08,73.77,68.31,1673076,5385,12.785,0.0
11,2019,Athletic Club Bilbao,51,41,38,25.06,181.73,77.06,74.03,7647878,17818,0.0,19.47
12,2019,Levante UD,49,47,53,24.76,180.94,74.3,72.27,5660606,17394,11.34,0.0
13,2019,SD Eibar,42,39,56,26.31,179.97,73.9,73.41,6284137,19241,15.39,9.76
14,2019,Real Valladolid CF,42,32,43,24.9,179.45,72.1,69.35,3030161,11097,1.26,0.0
15,2019,Real Betis,41,48,60,25.54,181.54,75.81,75.88,11449423,23731,90.23,0.0
16,2019,Deportivo Alavés,39,34,59,24.7,182.56,75.33,73.07,6250925,17037,9.7,9.94
17,2019,RC Celta Vigo,37,37,49,23.67,179.55,73.52,72.45,6915151,15758,22.14,24.18
18,2019,CD Leganés,36,30,51,25.38,181.69,74.12,71.53,4398437,18750,14.76,12.36
19,2019,RCD Mallorca,33,40,65,26.07,179.93,73.37,65.33,655740,3074,6.750000000000001,0.0
20,2019,RCD Espanyol,25,27,59,25.3,179.7,74.07,71.5,5032166,16567,55.35,30.34
1,2018,FC Barcelona,87,51,17,26.25,179.83,75.12,82.38,29791666,188833,116.19000000000004,192.41
2,2018,Atlético Madrid,76,32,10,24.78,180.19,73.59,75.88,17692187,49406,144.45000000000005,102.45
3,2018,Real Madrid,68,32,15,24.58,180.42,74.0,81.04,31798076,182731,146.48000000000005,69.98
4,2018,Valencia CF,61,24,12,23.41,180.89,73.63,74.59,8939814,29407,116.28000000000002,66.06
5,2018,Getafe CF,59,28,13,26.23,179.19,71.74,70.65,3379677,17000,24.53,0.0
