,Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Shots pg,Yellowcard,RedCard,Possession%,Pass%,AerialsWon,Country,Transfer Spend (Euros),MA
63,4,2017,Liverpool,75.0,45.0,10.0,24.09,181.18,74.88,75.91,14128030.0,83394.0,16.8,44,1,58.0,83.8,15.7,England,156.495,114.08
64,5,2017,Chelsea,70.0,30.0,16.0,24.39,182.06,77.09,76.52,20360909.0,107424.0,15.9,42,4,54.4,84.3,16.2,England,234.45,145.14
65,6,2017,Arsenal,63.0,54.0,20.0,24.73,181.12,74.73,75.76,15453030.0,91121.0,15.6,57,2,58.5,84.3,17.0,England,137.57,87.72
66,7,2017,Burnley,54.0,16.0,17.0,25.18,181.33,74.39,68.58,3971666.0,32697.0,9.9,65,0,45.1,70.5,25.2,England,32.166,
67,8,2017,Everton,49.0,28.0,22.0,25.18,180.91,75.27,74.73,10062121.0,75727.0,9.4,51,3,46.7,74.3,20.4,England,182.88,101.43
68,9,2017,Leicester City,47.0,25.0,22.0,25.15,183.21,80.3,72.18,7160151.0,45000.0,11.1,52,5,48.3,74.7,20.9,England,79.38,68.91
69,10,2017,Crystal Palace,44.0,29.0,27.0,25.24,183.21,76.03,70.58,5480454.0,35242.0,11.9,52,2,43.8,72.3,23.8,England,44.06,53.72
70,11,2017,Newcastle United,44.0,21.0,17.0,24.06,182.15,75.48,70.79,4879242.0,39848.0,12.5,72,0,46.9,75.4,20.2,England,41.85,
71,12,2017,Bournemouth,44.0,26.0,30.0,24.88,181.58,75.79,70.15,4161515.0,38273.0,12.2,55,1,48.5,77.0,19.0,England,30.87,39.03
72,13,2017,West Ham United,42.0,24.0,26.0,24.52,182.64,75.03,71.48,6894242.0,61818.0,9.8,73,2,46.4,75.5,19.8,England,51.12000000000001,57.9
73,14,2017,Watford,41.0,27.0,31.0,26.33,183.76,80.06,74.18,6571969.0,40848.0,11.6,63,4,49.3,75.5,22.6,England,64.26,67.62
74,15,2017,Brighton & Hove Albion,40.0,24.0,25.0,25.94,181.58,76.48,70.33,3647272.0,30788.0,10.1,54,2,45.1,74.9,21.4,England,60.3,
75,16,2017,Huddersfield Town,37.0,16.0,25.0,24.36,184.64,77.39,66.88,2671363.0,23273.0,9.5,62,3,46.4,74.0,21.2,England,51.08,
76,17,2017,Southampton,36.0,20.0,26.0,24.21,181.82,75.12,71.88,7053636.0,51182.0,11.8,63,2,51.0,77.5,18.5,England,55.13,57.08
77,18,2017,Stoke City,33.0,20.0,30.0,24.79,184.0,77.21,70.64,6050454.0,41909.0,8.9,51,1,46.0,78.2,18.5,England,51.93,45.04
78,19,2017,Swansea City,33.0,17.0,24.0,25.3,182.82,78.42,71.24,5102272.0,43879.0,10.1,62,1,43.7,71.5,26.0,England,66.047,45.99
79,20,2017,West Bromwich Albion,31.0,21.0,29.0,25.87,184.73,77.47,70.33,5029833.0,43800.0,9.9,73,1,42.8,72.4,21.1,England,48.15,40.29
80,1,2018,Manchester City,98.0,57.0,12.0,24.09,180.45,74.12,76.85,22951363.0,112758.0,18.0,44,1,64.0,89.0,14.3,England,70.73100000000002,183.33
81,2,2018,Liverpool,97.0,55.0,10.0,24.0,180.48,73.18,76.0,18015303.0,88212.0,15.1,37,2,58.8,84.4,16.0,England,163.98,130.79
82,3,2018,Chelsea,72.0,39.0,12.0,25.21,182.82,77.0,76.79,18798787.0,98970.0,16.0,49,0,59.9,87.6,14.0,England,187.92,180.63
83,4,2018,Tottenham Hotspur,71.0,34.0,16.0,24.48,183.06,77.7,75.97,18203333.0,76606.0,14.1,56,3,56.7,83.2,16.1,England,0.0,61.5
84,5,2018,Arsenal,70.0,42.0,16.0,24.61,182.97,75.48,74.79,12470909.0,76182.0,12.3,72,2,56.1,83.3,14.9,England,72.14,103.82
85,6,2018,Manchester United,66.0,33.0,25.0,24.76,183.21,75.36,77.45,19016666.0,106727.0,13.8,73,4,53.3,82.3,18.3,England,74.43,139.83
86,7,2018,Wolverhampton Wanderers,57.0,28.0,21.0,22.97,182.42,78.45,68.64,5249090.0,28364.0,12.6,72,1,47.4,78.2,21.6,England,101.03000000000002,
87,8,2018,Everton,54.0,30.0,21.0,24.21,182.45,75.73,73.94,8438181.0,59606.0,13.1,55,4,51.0,77.3,23.5,England,89.83,116.7
88,9,2018,Leicester City,52.0,24.0,20.0,25.64,181.94,78.3,73.97,7597727.0,44758.0,13.6,57,5,50.8,79.2,21.5,England,103.13999999999996,88.32
89,10,2018,West Ham United,52.0,32.0,27.0,25.61,181.94,75.64,72.91,7811060.0,53394.0,11.6,59,1,49.0,78.7,16.9,England,90.81,72.36
90,11,2018,Watford,50.0,26.0,28.0,26.06,184.64,80.3,72.76,5983636.0,35939.0,11.5,77,4,47.4,76.1,20.3,England,27.1,51.59
91,12,2018,Crystal Palace,49.0,19.0,23.0,25.21,183.42,75.06,71.12,5714696.0,32606.0,13.0,58,2,46.6,76.8,18.1,England,10.670000000000002,48.63
92,13,2018,Bournemouth,45.0,30.0,25.0,24.42,181.33,74.48,69.82,4545757.0,32364.0,11.7,57,2,42.9,72.9,21.2,England,80.19,49.23
93,14,2018,Newcastle United,45.0,24.0,25.0,24.67,182.76,79.12,70.97,5371818.0,29424.0,11.7,60,1,47.7,78.1,18.8,England,53.78000000000001,
94,15,2018,Burnley,40.0,24.0,32.0,25.76,182.91,77.27,70.94,5955303.0,34848.0,9.5,75,1,43.4,70.3,27.6,England,29.70000000000001,
95,16,2018,Southampton,39.0,27.0,30.0,23.73,183.39,75.79,71.42,5977121.0,30152.0,12.7,71,3,45.4,74.0,20.4,England,56.03,57.72
96,17,2018,Brighton & Hove Albion,36.0,19.0,28.0,25.39,181.88,76.64,71.24,4984545.0,28879.0,9.8,60,4,44.1,74.8,22.0,England,79.854,
97,18,2018,Cardiff City,34.0,21.0,38.0,26.21,182.21,76.42,68.27,2700151.0,23030.0,11.0,66,1,39.1,63.9,25.8,England,46.09,
98,19,2018,Fulham,26.0,22.0,36.0,23.39,181.52,75.91,69.91,5670757.0,30606.0,11.9,68,2,49.2,80.3,19.7,England,104.86,
99,20,2018,Huddersfield Town,16.0,10.0,31.0,23.55,183.91,75.82,69.09,4146818.0,23970.0,10.6,55,4,47.1,75.8,22.6,England,45.63,
100,1,2019,Liverpool,99.0,85.0,33.0,24.48,181.21,73.39,75.85,21008030.0,80818.0,15.6,38,1,59.6,84.3,17.6,England,9.36,109.94
101,2,2019,Manchester City,81.0,102.0,35.0,24.33,179.82,72.97,77.0,25628636.0,120727.0,19.6,60,4,62.6,89.3,13.6,England,150.14,168.87
102,3,2019,Manchester United,66.0,66.0,36.0,24.82,183.55,74.97,76.85,15202272.0,87091.0,14.3,73,0,54.6,83.6,15.0,England,192.6,148.53
103,4,2019,Chelsea,66.0,69.0,54.0,24.76,183.18,79.0,77.06,15302121.0,85030.0,16.4,60,0,57.9,85.2,18.7,England,40.5,154.29
104,5,2019,Leicester City,62.0,67.0,41.0,25.52,181.42,76.88,74.36,8232575.0,53000.0,14.2,41,3,55.1,82.8,17.8,England,93.87,92.13
105,6,2019,Tottenham Hotspur,59.0,61.0,47.0,23.88,181.79,76.85,76.48,19692424.0,78879.0,11.7,82,3,51.5,81.4,17.1,England,133.65000000000003,81.0
106,7,2019,Wolverhampton Wanderers,59.0,51.0,40.0,23.76,183.36,77.82,70.45,7016666.0,41970.0,12.1,57,2,48.7,79.2,20.7,England,109.62,
107,8,2019,Arsenal,56.0,56.0,48.0,23.85,182.48,75.76,75.06,13783636.0,61394.0,10.7,86,5,52.9,83.6,13.5,England,144.36,118.02
108,9,2019,Burnley,54.0,43.0,50.0,26.09,182.88,77.85,71.3,5392121.0,23939.0,9.3,61,2,44.4,74.4,25.3,England,17.47,
109,10,2019,Sheffield United,54.0,39.0,39.0,26.21,182.58,76.39,68.88,2932424.0,17909.0,10.2,67,0,43.9,70.0,25.5,England,64.35,
110,11,2019,Southampton,52.0,51.0,60.0,24.3,182.88,75.12,72.24,6386666.0,33273.0,13.1,53,4,49.2,73.4,21.7,England,52.74,54.63
111,12,2019,Everton,49.0,44.0,56.0,25.42,183.58,76.55,75.12,9732575.0,56606.0,12.3,70,3,49.0,78.0,23.1,England,108.9,127.2
112,13,2019,Newcastle United,44.0,38.0,58.0,25.97,181.36,77.45,73.33,6959545.0,29394.0,10.5,66,3,41.8,75.3,19.8,England,65.61,
113,14,2019,Crystal Palace,43.0,31.0,50.0,25.97,184.39,76.82,70.79,5760000.0,33939.0,9.9,62,2,46.4,76.5,20.8,England,6.84,20.52
114,15,2019,Brighton & Hove Albion,41.0,39.0,54.0,25.82,182.3,77.18,72.39,6023939.0,32061.0,12.2,57,2,51.7,81.0,18.7,England,67.45,69.2
115,16,2019,West Ham United,39.0,49.0,62.0,26.0,181.15,75.64,72.58,8412575.0,52939.0,11.0,62,1,45.4,76.1,22.9,England,108.18,83.37
116,17,2019,Aston Villa,35.0,41.0,67.0,24.42,183.7,77.64,69.18,4629090.0,28939.0,12.0,68,1,45.7,76.9,19.0,England,143.19,
117,18,2019,Bournemouth,34.0,40.0,65.0,24.76,183.09,76.09,72.3,6521515.0,38061.0,10.2,74,3,45.6,75.4,21.1,England,50.81,53.96
118,19,2019,Watford,34.0,36.0,64.0,27.0,184.55,79.88,75.0,7257424.0,47788.0,11.2,76,3,44.3,73.5,21.9,England,43.2,44.85
119,20,2019,Norwich City,21.0,26.0,75.0,24.36,183.58,76.03,69.33,3599393.0,23333.0,10.8,68,3,49.8,80.5,14.1,England,7.939000000000001,
120,1,2020,Liverpool,28.0,29.0,19.0,,,,,,,15.6,10,0,59.2,86.1,12.2,England,,
121,2,2020,Tottenham,25.0,25.0,12.0,,,,,,,11.3,16,0,48.9,80.4,16.2,England,,
122,3,2020,Southampton,24.0,25.0,18.0,,,,,,,11.3,19,0,54.1,79.9,16.4,England,,
123,4,2020,Leicester,24.0,24.0,17.0,,,,,,,11.1,28,0,53.0,82.6,14.3,England,,
124,5,2020,Everton,23.0,23.0,18.0,,,,,,,11.5,21,2,49.6,83.1,15.8,England,,
125,6,2020,Manchester United,23.0,22.0,19.0,,,,,,,13.7,19,1,53.3,84.2,15.5,England,,
126,7,2020,Chelsea,22.0,26.0,14.0,,,,,,,13.7,16,1,57.3,86.3,14.8,England,,
127,8,2020,West Ham,21.0,21.0,16.0,,,,,,,12.7,18,0,43.0,78.0,20.9,England,,
128,9,2020,Manchester City,20.0,18.0,12.0,,,,,,,16.2,17,0,60.6,88.2,13.0,England,,
129,10,2020,Wolverhampton Wanderers,20.0,13.0,17.0,,,,,,,12.3,18,1,48.1,82.3,17.2,England,,
130,11,2020,Aston Villa,19.0,21.0,13.0,,,,,,,15.9,23,1,50.2,77.7,21.5,England,,
131,12,2020,Crystal Palace,18.0,19.0,18.0,,,,,,,10.5,18,2,44.0,77.8,17.2,England,,
132,13,2020,Leeds,17.0,22.0,24.0,,,,,,,15.3,22,0,57.2,82.4,14.1,England,,
133,14,2020,Newcastle United,17.0,16.0,21.0,,,,,,,9.0,24,0,42.2,75.8,18.0,England,,
134,15,2020,Arsenal,14.0,11.0,16.0,,,,,,,10.2,19,3,51.6,84.5,13.1,England,,
135,16,2020,Brighton,11.0,15.0,21.0,,,,,,,12.0,19,3,51.5,80.7,12.8,England,,
136,17,2020,Burnley,10.0,6.0,18.0,,,,,,,8.9,15,0,43.0,72.4,23.2,England,,
137,18,2020,Fulham,9.0,12.0,22.0,,,,,,,11.6,26,1,48.4,82.3,14.5,England,,
138,19,2020,West Bromwich Albion,7.0,10.0,26.0,,,,,,,9.4,19,2,44.0,76.7,17.8,England,,
139,20,2020,Sheffield United,1.0,7.0,24.0,,,,,,,8.8,19,1,40.8,75.5,21.2,England,,
140,1,2014,Juventus,87.0,72.0,24.0,26.06,182.64,76.21,74.15,0.0,0.0,15.8,73,5,55.7,84.8,12.8,Italy,54.09,53.52
141,2,2014,AS Roma,70.0,54.0,31.0,26.24,182.09,75.61,73.45,0.0,0.0,13.8,103,5,57.5,85.0,11.6,Italy,89.565,65.62
142,3,2014,SS Lazio,69.0,71.0,38.0,26.21,182.91,76.97,72.64,0.0,0.0,14.5,104,9,52.7,80.2,15.7,Italy,11.475,12.33
143,4,2014,ACF Fiorentina,64.0,61.0,46.0,26.33,183.42,77.61,73.0,0.0,0.0,16.2,82,3,55.9,84.3,14.0,Italy,8.19,30.95
144,5,2014,Napoli,63.0,70.0,54.0,24.94,182.78,76.75,70.5,0.0,0.0,16.4,78,6,54.1,83.1,13.9,Italy,31.33,52.0
145,6,2014,Genoa,59.0,62.0,47.0,24.48,180.39,75.09,67.24,0.0,0.0,12.9,103,6,51.2,78.5,12.5,Italy,6.705000000000001,17.29
146,7,2014,Sampdoria,56.0,48.0,42.0,25.18,183.43,77.64,69.68,0.0,0.0,13.2,97,3,49.0,80.0,12.8,Italy,21.83,19.37
147,8,2014,FC Internazionale Milano,55.0,59.0,48.0,24.24,181.85,76.3,69.88,0.0,0.0,16.2,95,5,57.8,84.8,15.8,Italy,15.260000000000002,
148,9,2014,Torino,54.0,48.0,45.0,26.64,182.94,76.67,69.55,0.0,0.0,14.4,97,5,48.8,81.8,12.7,Italy,19.98,20.28
149,10,2014,AC Milan,52.0,56.0,50.0,27.48,183.44,78.48,76.67,0.0,0.0,11.8,811,3,51.2,81.7,12.0,Italy,15.214999999999998,35.89
150,11,2014,Palermo,49.0,53.0,55.0,25.57,184.43,78.0,67.3,0.0,0.0,12.6,84,4,49.0,78.6,14.4,Italy,17.73,
151,12,2014,Sassuolo Calcio,49.0,49.0,57.0,26.93,183.0,76.7,69.07,0.0,0.0,11.8,101,9,47.2,77.0,14.7,Italy,16.02,
152,13,2014,Hellas Verona,46.0,49.0,65.0,26.26,182.77,75.42,67.81,0.0,0.0,12.1,97,7,44.0,78.4,14.4,Italy,20.034,
153,14,2014,AC Chievo Verona,43.0,28.0,41.0,26.84,183.38,78.19,69.5,0.0,0.0,12.1,82,3,43.6,72.5,15.9,Italy,7.7399999999999975,6.6
154,15,2014,Empoli,42.0,46.0,52.0,23.83,181.6,74.2,65.03,0.0,0.0,13.6,58,4,51.4,80.2,13.6,Italy,0.774,
155,16,2014,Udinese Calcio,41.0,43.0,56.0,24.97,181.94,76.62,70.56,0.0,0.0,11.2,91,6,45.2,75.3,15.9,Italy,26.28,24.3
156,17,2014,Atalanta,37.0,38.0,57.0,27.59,180.28,75.34,69.07,0.0,0.0,12.1,103,9,46.2,75.7,15.8,Italy,9.978,12.53
157,18,2014,Cagliari Calcio,34.0,48.0,68.0,22.56,180.19,73.06,66.81,0.0,0.0,13.0,109,6,49.1,79.7,12.8,Italy,20.345,
158,19,2014,Parma,24.0,36.0,73.0,27.0,182.52,76.12,68.27,0.0,0.0,9.5,102,4,45.2,74.9,17.4,Italy,15.517000000000001,17.99
159,20,2014,Cesena,19.0,33.0,75.0,25.41,182.56,78.19,64.31,0.0,0.0,11.0,100,8,45.2,77.7,11.2,Italy,8.864999999999998,
160,1,2015,Juventus,91.0,37.0,6.0,26.31,182.96,77.31,79.35,15003846.0,102154.0,15.8,90,6,54.9,85.3,12.9,Italy,139.414,78.15
161,2,2015,Napoli,82.0,49.0,12.0,25.73,182.62,76.08,76.65,10291153.0,74000.0,17.3,69,2,59.3,85.8,12.9,Italy,38.43,55.49
162,3,2015,AS Roma,80.0,44.0,17.0,26.7,182.37,75.48,76.15,9617777.0,68556.0,15.3,79,5,55.7,83.0,15.6,Italy,54.094,70.5
163,4,2015,FC Internazionale Milano,67.0,29.0,15.0,25.18,181.93,76.89,75.43,8390178.0,61786.0,13.6,891,2,53.4,82.4,14.1,Italy,92.21,
164,5,2015,ACF Fiorentina,64.0,34.0,16.0,25.76,184.24,78.16,73.96,5548000.0,43480.0,15.1,93,3,59.0,85.7,10.8,Italy,31.41,29.19
165,6,2015,Sassuolo Calcio,61.0,25.0,20.0,26.41,183.0,76.81,70.33,2776481.0,24333.0,12.8,90,6,50.9,77.7,14.6,Italy,27.64,28.5
166,7,2015,AC Milan,57.0,28.0,22.0,26.26,182.81,77.93,76.26,7828703.0,65963.0,14.4,92,3,52.1,79.8,14.2,Italy,92.04299999999999,48.69
167,8,2015,SS Lazio,54.0,32.0,23.0,25.87,183.5,77.7,75.23,7606666.0,59100.0,13.6,951,0,53.3,80.0,14.4,Italy,33.53,23.05
168,9,2015,AC Chievo Verona,50.0,25.0,18.0,28.11,183.18,78.43,71.29,2349821.0,27821.0,11.2,103,4,46.4,75.7,16.1,Italy,5.5349999999999975,5.6
169,10,2015,Empoli,46.0,22.0,20.0,24.6,181.64,75.48,68.48,1839600.0,18440.0,12.6,92,6,52.4,82.1,10.4,Italy,5.715,
170,11,2015,Genoa,46.0,29.0,19.0,25.62,181.38,75.55,71.79,3837413.0,34207.0,12.3,81,9,50.0,77.6,16.4,Italy,15.029999999999998,14.28
171,12,2015,Atalanta,45.0,27.0,21.0,27.7,182.63,77.52,71.81,2759629.0,29889.0,12.4,95,3,48.4,81.2,11.2,Italy,21.314000000000004,13.83
172,13,2015,Torino,45.0,25.0,25.0,26.68,183.71,77.79,74.04,4833214.0,38214.0,11.9,961,4,48.6,76.1,15.0,Italy,25.245000000000005,21.2
